,original_index,updateDate,code,code_name,abbrev_symbol,sector_code,sector_code_name,industry_code,industry_name,start_date,end_date
0,191,2023-12-11,sz.000100,TCL科技,TCLKJ,ConsumerDiscretionary,非必须消费品,C39,计算机、通信和其他电子设备制造业,2006-04-20,2023-12-29
1,204,2023-12-11,sz.000651,格力电器,GLDQ,ConsumerDiscretionary,非必须消费品,C38,电气机械和器材制造业,2006-01-05,2023-12-29
2,21,2023-12-11,sh.600104,上汽集团,SQJT,ConsumerDiscretionary,非必须消费品,C36,汽车制造业,2006-01-04,2023-12-29
3,159,2023-12-11,sh.603486,科沃斯,KWS,ConsumerDiscretionary,非必须消费品,C38,电气机械和器材制造业,2018-05-29,2023-12-29
4,213,2023-12-11,sz.000800,一汽解放,YQJF,ConsumerDiscretionary,非必须消费品,C36,汽车制造业,2006-01-04,2023-12-29
5,99,2023-12-11,sh.601238,广汽集团,GQJT,ConsumerDiscretionary,非必须消费品,C36,汽车制造业,2012-03-29,2023-12-29
6,168,2023-12-11,sh.605117,德业股份,DYGF,ConsumerDiscretionary,非必须消费品,C38,电气机械和器材制造业,2021-04-20,2023-12-29
7,152,2023-12-11,sh.603195,公牛集团,GNJT,ConsumerDiscretionary,非必须消费品,C38,电气机械和器材制造业,2020-02-06,2023-12-29
8,195,2023-12-11,sz.000333,美的集团,MDJT,ConsumerDiscretionary,非必须消费品,C38,电气机械和器材制造业,2013-09-18,2023-12-29
9,139,2023-12-11,sh.601888,中国中免,ZGZM,ConsumerDiscretionary,非必须消费品,L72,商务服务业,2009-10-15,2023-12-29
10,120,2023-12-11,sh.601689,拓普集团,TPJT,ConsumerDiscretionary,非必须消费品,C36,汽车制造业,2015-03-19,2023-12-29
11,203,2023-12-11,sz.000625,长安汽车,CAQC,ConsumerDiscretionary,非必须消费品,C36,汽车制造业,2006-01-04,2023-12-29
12,53,2023-12-11,sh.600660,福耀玻璃,FYBL,ConsumerDiscretionary,非必须消费品,C30,非金属矿物制品业,2006-01-17,2023-12-29
13,55,2023-12-11,sh.600690,海尔智家,HEZJ,ConsumerDiscretionary,非必须消费品,C38,电气机械和器材制造业,2006-01-04,2023-12-29
14,57,2023-12-11,sh.600741,华域汽车,HYQC,ConsumerDiscretionary,非必须消费品,C36,汽车制造业,2006-01-04,2023-12-29
15,115,2023-12-11,sh.601633,长城汽车,CCQC,ConsumerDiscretionary,非必须消费品,C36,汽车制造业,2011-09-28,2023-12-29
16,264,2023-12-11,sz.002920,德赛西威,DSXW,ConsumerDiscretionary,非必须消费品,C36,汽车制造业,2017-12-26,2023-12-29
17,59,2023-12-11,sh.600754,锦江酒店,JJJD,ConsumerDiscretionary,非必须消费品,H61,住宿业,2006-01-23,2023-12-29
18,60,2023-12-11,sh.600760,中航沈飞,ZHSF,ConsumerDiscretionary,非必须消费品,C37,铁路、船舶、航空航天和其他运输设备制造业,2006-01-04,2023-12-29
19,280,2023-12-11,sz.300413,芒果超媒,MGCM,ConsumerDiscretionary,非必须消费品,R87,文化艺术业,2015-01-21,2023-12-29
20,190,2023-12-11,sz.000069,华侨城A,HQCA,ConsumerDiscretionary,非必须消费品,K70,房地产业,2006-01-06,2023-12-29
21,126,2023-12-11,sh.601799,星宇股份,XYGF,ConsumerDiscretionary,非必须消费品,C36,汽车制造业,2011-02-01,2023-12-29
22,297,2023-12-11,sz.300979,华利集团,HLJT,ConsumerDiscretionary,非必须消费品,C19,皮革、毛皮、羽毛及其制品和制鞋业,2021-04-26,2023-12-29
23,253,2023-12-11,sz.002594,比亚迪,BYD,ConsumerDiscretionary,非必须消费品,C36,汽车制造业,2011-06-30,2023-12-29
24,164,2023-12-11,sh.603833,欧派家居,OPJJ,ConsumerDiscretionary,非必须消费品,C21,家具制造业,2017-03-28,2023-12-29
25,45,2023-12-11,sh.600519,贵州茅台,GZMT,ConsumerStaples,必需消费品,C15,酒、饮料和精制茶制造业,2006-01-04,2023-12-29
26,155,2023-12-11,sh.603288,海天味业,HTWY,ConsumerStaples,必需消费品,C14,食品制造业,2014-02-11,2023-12-29
27,51,2023-12-11,sh.600600,青岛啤酒,QDPJ,ConsumerStaples,必需消费品,C15,酒、饮料和精制茶制造业,2006-01-04,2023-12-29
28,63,2023-12-11,sh.600809,山西汾酒,SXFJ,ConsumerStaples,必需消费品,C15,酒、饮料和精制茶制造业,2006-01-04,2023-12-29
29,157,2023-12-11,sh.603369,今世缘,JSY,ConsumerStaples,必需消费品,C15,酒、饮料和精制茶制造业,2014-07-03,2023-12-29
30,298,2023-12-11,sz.300999,金龙鱼,JLY,ConsumerStaples,必需消费品,C13,农副食品加工业,2020-10-15,2023-12-29
31,169,2023-12-11,sh.605499,东鹏饮料,DPYL,ConsumerStaples,必需消费品,C15,酒、饮料和精制茶制造业,2021-05-27,2023-12-29
32,68,2023-12-11,sh.600887,伊利股份,YLGF,ConsumerStaples,必需消费品,C14,食品制造业,2006-01-04,2023-12-29
33,258,2023-12-11,sz.002714,牧原股份,MYGF,ConsumerStaples,必需消费品,A03,畜牧业,2014-01-28,2023-12-29
34,285,2023-12-11,sz.300498,温氏股份,WSGF,ConsumerStaples,必需消费品,A03,畜牧业,2015-11-02,2023-12-29
35,242,2023-12-11,sz.002311,海大集团,HDJT,ConsumerStaples,必需消费品,C13,农副食品加工业,2009-11-27,2023-12-29
36,215,2023-12-11,sz.000876,新希望,XXW,ConsumerStaples,必需消费品,C13,农副食品加工业,2006-02-07,2023-12-29
37,214,2023-12-11,sz.000858,五粮液,WLY,ConsumerStaples,必需消费品,C15,酒、饮料和精制茶制造业,2006-01-04,2023-12-29
38,217,2023-12-11,sz.000895,双汇发展,SHFZ,ConsumerStaples,必需消费品,C13,农副食品加工业,2006-01-04,2023-12-29
39,24,2023-12-11,sh.600132,重庆啤酒,CQPJ,ConsumerStaples,必需消费品,C15,酒、饮料和精制茶制造业,2006-01-04,2023-12-29
40,201,2023-12-11,sz.000596,古井贡酒,GJGJ,ConsumerStaples,必需消费品,C15,酒、饮料和精制茶制造业,2006-01-04,2023-12-29
41,200,2023-12-11,sz.000568,泸州老窖,LZLJ,ConsumerStaples,必需消费品,C15,酒、饮料和精制茶制造业,2006-01-04,2023-12-29
42,296,2023-12-11,sz.300957,贝泰妮,BTN,ConsumerStaples,必需消费品,C26,化学原料和化学制品制造业,2021-03-25,2023-12-29
43,241,2023-12-11,sz.002304,洋河股份,YHGF,ConsumerStaples,必需消费品,C15,酒、饮料和精制茶制造业,2009-11-06,2023-12-29
44,62,2023-12-11,sh.600803,新奥股份,XAGF,Energy,能源,D45,燃气生产和供应业,2006-01-04,2023-12-29
45,128,2023-12-11,sh.601808,中海油服,ZHYF,Energy,能源,B11,开采辅助活动,2007-09-28,2023-12-29
46,96,2023-12-11,sh.601225,陕西煤业,SXMY,Energy,能源,B06,煤炭开采和洗选业,2014-01-28,2023-12-29
47,122,2023-12-11,sh.601699,潞安环能,LAHN,Energy,能源,B06,煤炭开采和洗选业,2006-09-22,2023-12-29
48,10,2023-12-11,sh.600028,中国石化,ZGSH,Energy,能源,B07,石油和天然气开采业,2006-01-04,2023-12-29
49,132,2023-12-11,sh.601857,中国石油,ZGSY,Energy,能源,B07,石油和天然气开采业,2007-11-05,2023-12-29
50,28,2023-12-11,sh.600188,兖矿能源,YKNY,Energy,能源,B06,煤炭开采和洗选业,2006-01-04,2023-12-29
51,86,2023-12-11,sh.601088,中国神华,ZGSH,Energy,能源,B06,煤炭开采和洗选业,2007-10-09,2023-12-29
52,221,2023-12-11,sz.000983,山西焦煤,SXJM,Energy,能源,B06,煤炭开采和洗选业,2007-01-04,2023-12-29
53,75,2023-12-11,sh.600938,中国海油,ZGHY,Energy,能源,B07,石油和天然气开采业,2022-04-21,2023-12-29
54,78,2023-12-11,sh.600989,宝丰能源,BFNY,Energy,能源,C26,化学原料和化学制品制造业,2019-05-16,2023-12-29
55,140,2023-12-11,sh.601898,中煤能源,ZMNY,Energy,能源,B06,煤炭开采和洗选业,2008-02-01,2023-12-29
56,106,2023-12-11,sh.601377,兴业证券,XYZQ,Financials,金融,J67,资本市场服务,2010-10-13,2023-12-29
57,114,2023-12-11,sh.601628,中国人寿,ZGRS,Financials,金融,J68,保险业,2007-01-09,2023-12-29
58,104,2023-12-11,sh.601336,新华保险,XHBX,Financials,金融,J68,保险业,2011-12-16,2023-12-29
59,97,2023-12-11,sh.601229,上海银行,SHYH,Financials,金融,J66,货币金融服务,2016-11-16,2023-12-29
60,100,2023-12-11,sh.601288,农业银行,NYYH,Financials,金融,J66,货币金融服务,2010-07-15,2023-12-29
61,95,2023-12-11,sh.601211,国泰君安,GTJA,Financials,金融,J67,资本市场服务,2015-06-26,2023-12-29
62,103,2023-12-11,sh.601328,交通银行,JTYH,Financials,金融,J66,货币金融服务,2007-05-15,2023-12-29
63,102,2023-12-11,sh.601319,中国人保,ZGRB,Financials,金融,J68,保险业,2018-11-16,2023-12-29
64,110,2023-12-11,sh.601601,中国太保,ZGTB,Financials,金融,J68,保险业,2007-12-25,2023-12-29
65,98,2023-12-11,sh.601236,红塔证券,HTZQ,Financials,金融,J67,资本市场服务,2019-07-05,2023-12-29
66,116,2023-12-11,sh.601658,邮储银行,YCYH,Financials,金融,J66,货币金融服务,2019-12-10,2023-12-29
67,101,2023-12-11,sh.601318,中国平安,ZGPA,Financials,金融,J68,保险业,2007-03-01,2023-12-29
68,108,2023-12-11,sh.601398,工商银行,GSYH,Financials,金融,J66,货币金融服务,2006-10-27,2023-12-29
69,0,2023-12-11,sh.600000,浦发银行,PFYH,Financials,金融,J66,货币金融服务,2006-01-04,2023-12-29
70,125,2023-12-11,sh.601788,光大证券,GDZQ,Financials,金融,J67,资本市场服务,2009-08-18,2023-12-29
71,270,2023-12-11,sz.300059,东方财富,DFCF,Financials,金融,J67,资本市场服务,2010-03-19,2023-12-29
72,269,2023-12-11,sz.300033,同花顺,THS,Financials,金融,J69,其他金融业,2009-12-25,2023-12-29
73,259,2023-12-11,sz.002736,国信证券,GXZQ,Financials,金融,J67,资本市场服务,2014-12-29,2023-12-29
74,232,2023-12-11,sz.002142,宁波银行,NBYH,Financials,金融,J66,货币金融服务,2007-07-19,2023-12-29
75,210,2023-12-11,sz.000776,广发证券,GFZQ,Financials,金融,J67,资本市场服务,2006-01-04,2023-12-29
76,202,2023-12-11,sz.000617,中油资本,ZYZB,Financials,金融,J67,资本市场服务,2006-01-04,2023-12-29
77,193,2023-12-11,sz.000166,申万宏源,SWHY,Financials,金融,J67,资本市场服务,2015-01-26,2023-12-29
78,187,2023-12-11,sz.000001,平安银行,PAYH,Financials,金融,J66,货币金融服务,2006-01-04,2023-12-29
79,119,2023-12-11,sh.601688,华泰证券,HTZQ,Financials,金融,J67,资本市场服务,2010-02-26,2023-12-29
80,149,2023-12-11,sh.601995,中金公司,ZJGS,Financials,金融,J67,资本市场服务,2020-11-02,2023-12-29
81,145,2023-12-11,sh.601939,建设银行,JSYH,Financials,金融,J66,货币金融服务,2007-09-25,2023-12-29
82,93,2023-12-11,sh.601169,北京银行,BJYH,Financials,金融,J66,货币金融服务,2007-09-19,2023-12-29
83,143,2023-12-11,sh.601916,浙商银行,ZSYH,Financials,金融,J66,货币金融服务,2019-11-26,2023-12-29
84,142,2023-12-11,sh.601901,方正证券,FZZQ,Financials,金融,J67,资本市场服务,2011-08-10,2023-12-29
85,138,2023-12-11,sh.601881,中国银河,ZGYH,Financials,金融,J67,资本市场服务,2017-01-23,2023-12-29
86,137,2023-12-11,sh.601878,浙商证券,ZSZQ,Financials,金融,J67,资本市场服务,2017-06-26,2023-12-29
87,131,2023-12-11,sh.601838,成都银行,CDYH,Financials,金融,J66,货币金融服务,2018-01-31,2023-12-29
88,130,2023-12-11,sh.601818,光大银行,GDYH,Financials,金融,J66,货币金融服务,2010-08-18,2023-12-29
89,147,2023-12-11,sh.601988,中国银行,ZGYH,Financials,金融,J66,货币金融服务,2006-07-05,2023-12-29
90,92,2023-12-11,sh.601166,兴业银行,XYYH,Financials,金融,J66,货币金融服务,2007-02-05,2023-12-29
91,150,2023-12-11,sh.601998,中信银行,ZXYH,Financials,金融,J66,货币金融服务,2007-04-27,2023-12-29
92,5,2023-12-11,sh.600016,民生银行,MSYH,Financials,金融,J66,货币金融服务,2006-01-04,2023-12-29
93,12,2023-12-11,sh.600030,中信证券,ZXZQ,Financials,金融,J67,资本市场服务,2006-01-04,2023-12-29
94,4,2023-12-11,sh.600015,华夏银行,HXYH,Financials,金融,J66,货币金融服务,2006-01-04,2023-12-29
95,64,2023-12-11,sh.600837,海通证券,HTZQ,Financials,金融,J67,资本市场服务,2006-01-04,2023-12-29
96,14,2023-12-11,sh.600036,招商银行,ZSYH,Financials,金融,J66,货币金融服务,2006-01-04,2023-12-29
97,73,2023-12-11,sh.600919,江苏银行,JSYH,Financials,金融,J66,货币金融服务,2016-08-02,2023-12-29
98,74,2023-12-11,sh.600926,杭州银行,HZYH,Financials,金融,J66,货币金融服务,2016-10-27,2023-12-29
99,77,2023-12-11,sh.600958,东方证券,DFZQ,Financials,金融,J67,资本市场服务,2015-03-23,2023-12-29
100,79,2023-12-11,sh.600999,招商证券,ZSZQ,Financials,金融,J67,资本市场服务,2009-11-17,2023-12-29
101,72,2023-12-11,sh.600918,中泰证券,ZTZQ,Financials,金融,J67,资本市场服务,2020-06-03,2023-12-29
102,81,2023-12-11,sh.601009,南京银行,NJYH,Financials,金融,J66,货币金融服务,2007-07-19,2023-12-29
103,18,2023-12-11,sh.600061,国投资本,GTZB,Financials,金融,J67,资本市场服务,2006-01-04,2023-12-29
104,85,2023-12-11,sh.601066,中信建投,ZXJT,Financials,金融,J67,资本市场服务,2018-06-20,2023-12-29
105,19,2023-12-11,sh.600085,同仁堂,TRT,HealthCare,医疗保健,C27,医药制造业,2006-01-04,2023-12-29
106,239,2023-12-11,sz.002252,上海莱士,SHLS,HealthCare,医疗保健,C27,医药制造业,2008-06-23,2023-12-29
107,255,2023-12-11,sz.002603,以岭药业,YLYY,HealthCare,医疗保健,C27,医药制造业,2011-07-28,2023-12-29
108,180,2023-12-11,sh.688271,联影医疗,LYYL,HealthCare,医疗保健,C35,专用设备制造业,2022-08-22,2023-12-29
109,182,2023-12-11,sh.688363,华熙生物,HXSW,HealthCare,医疗保健,C27,医药制造业,2019-11-06,2023-12-29
110,205,2023-12-11,sz.000661,长春高新,CCGX,HealthCare,医疗保健,C27,医药制造业,2006-01-04,2023-12-29
111,278,2023-12-11,sz.300347,泰格医药,TGYY,HealthCare,医疗保健,M73,研究和试验发展,2012-08-17,2023-12-29
112,261,2023-12-11,sz.002821,凯莱英,KLY,HealthCare,医疗保健,C27,医药制造业,2016-11-18,2023-12-29
113,219,2023-12-11,sz.000963,华东医药,HDYY,HealthCare,医疗保健,F52,零售业,2007-01-04,2023-12-29
114,271,2023-12-11,sz.300122,智飞生物,ZFSW,HealthCare,医疗保健,C27,医药制造业,2010-09-28,2023-12-29
115,290,2023-12-11,sz.300759,康龙化成,KLHC,HealthCare,医疗保健,M73,研究和试验发展,2019-01-28,2023-12-29
116,273,2023-12-11,sz.300142,沃森生物,WSSW,HealthCare,医疗保健,C27,医药制造业,2010-11-12,2023-12-29
117,32,2023-12-11,sh.600276,恒瑞医药,HRYY,HealthCare,医疗保健,C27,医药制造业,2006-01-04,2023-12-29
118,222,2023-12-11,sz.000999,华润三九,HRSJ,HealthCare,医疗保健,C27,医药制造业,2007-01-04,2023-12-29
119,153,2023-12-11,sh.603259,药明康德,YMKD,HealthCare,医疗保健,M73,研究和试验发展,2018-05-08,2023-12-29
120,199,2023-12-11,sz.000538,云南白药,YNBY,HealthCare,医疗保健,C27,医药制造业,2006-01-04,2023-12-29
121,294,2023-12-11,sz.300896,爱美客,AMK,HealthCare,医疗保健,C35,专用设备制造业,2020-09-28,2023-12-29
122,268,2023-12-11,sz.300015,爱尔眼科,AEYK,HealthCare,医疗保健,Q83,卫生,2009-10-30,2023-12-29
123,40,2023-12-11,sh.600436,片仔癀,PZH,HealthCare,医疗保健,C27,医药制造业,2006-01-04,2023-12-29
124,158,2023-12-11,sh.603392,万泰生物,WTSW,HealthCare,医疗保健,C27,医药制造业,2020-04-29,2023-12-29
125,34,2023-12-11,sh.600332,白云山,BYS,HealthCare,医疗保健,C27,医药制造业,2006-01-04,2023-12-29
126,225,2023-12-11,sz.002001,新和成,XHC,HealthCare,医疗保健,C27,医药制造业,2007-01-04,2023-12-29
127,29,2023-12-11,sh.600196,复星医药,FXYY,HealthCare,医疗保健,C27,医药制造业,2006-01-04,2023-12-29
128,226,2023-12-11,sz.002007,华兰生物,HLSW,HealthCare,医疗保健,C27,医药制造业,2007-01-04,2023-12-29
129,291,2023-12-11,sz.300760,迈瑞医疗,MRYL,HealthCare,医疗保健,C35,专用设备制造业,2018-10-16,2023-12-29
130,111,2023-12-11,sh.601607,上海医药,SHYY,HealthCare,医疗保健,F52,零售业,2010-03-09,2023-12-29
131,165,2023-12-11,sh.603899,晨光股份,CGGF,Industrials,工业,C24,文教、工美、体育和娱乐用品制造业,2015-01-27,2023-12-29
132,37,2023-12-11,sh.600372,中航机载,ZHJZ,Industrials,工业,C37,铁路、船舶、航空航天和其他运输设备制造业,2006-01-04,2023-12-29
133,11,2023-12-11,sh.600029,南方航空,NFHK,Industrials,工业,G56,航空运输业,2006-01-04,2023-12-29
134,38,2023-12-11,sh.600406,国电南瑞,GDNR,Industrials,工业,I65,软件和信息技术服务业,2006-01-04,2023-12-29
135,196,2023-12-11,sz.000338,潍柴动力,WCDL,Industrials,工业,C36,汽车制造业,2007-04-30,2023-12-29
136,13,2023-12-11,sh.600031,三一重工,SYZG,Industrials,工业,C35,专用设备制造业,2006-01-04,2023-12-29
137,177,2023-12-11,sh.688187,时代电气,SDDQ,Industrials,工业,C37,铁路、船舶、航空航天和其他运输设备制造业,2021-09-07,2023-12-29
138,178,2023-12-11,sh.688223,晶科能源,JKNY,Industrials,工业,C38,电气机械和器材制造业,2022-01-26,2023-12-29
139,235,2023-12-11,sz.002202,金风科技,JFKJ,Industrials,工业,C34,通用设备制造业,2007-12-26,2023-12-29
140,233,2023-12-11,sz.002179,中航光电,ZHGD,Industrials,工业,C39,计算机、通信和其他电子设备制造业,2007-11-01,2023-12-29
141,230,2023-12-11,sz.002074,国轩高科,GXGK,Industrials,工业,C38,电气机械和器材制造业,2007-01-04,2023-12-29
142,31,2023-12-11,sh.600233,圆通速递,YTSD,Industrials,工业,G60,邮政业,2006-01-04,2023-12-29
143,192,2023-12-11,sz.000157,中联重科,ZLZK,Industrials,工业,C35,专用设备制造业,2006-01-04,2023-12-29
144,198,2023-12-11,sz.000425,徐工机械,XGJX,Industrials,工业,C35,专用设备制造业,2006-01-04,2023-12-29
145,15,2023-12-11,sh.600039,四川路桥,SCLQ,Industrials,工业,E48,土木工程建筑业,2006-01-04,2023-12-29
146,25,2023-12-11,sh.600150,中国船舶,ZGCB,Industrials,工业,C37,铁路、船舶、航空航天和其他运输设备制造业,2006-01-04,2023-12-29
147,23,2023-12-11,sh.600115,中国东航,ZGDH,Industrials,工业,G56,航空运输业,2006-01-04,2023-12-29
148,243,2023-12-11,sz.002352,顺丰控股,SFKG,Industrials,工业,G60,邮政业,2010-02-05,2023-12-29
149,229,2023-12-11,sz.002050,三花智控,SHZK,Industrials,工业,C34,通用设备制造业,2007-01-04,2023-12-29
150,6,2023-12-11,sh.600018,上港集团,SGJT,Industrials,工业,G55,水上运输业,2006-01-04,2023-12-29
151,148,2023-12-11,sh.601989,中国重工,ZGZG,Industrials,工业,C37,铁路、船舶、航空航天和其他运输设备制造业,2009-12-16,2023-12-29
152,127,2023-12-11,sh.601800,中国交建,ZGJJ,Industrials,工业,E48,土木工程建筑业,2012-03-09,2023-12-29
153,288,2023-12-11,sz.300750,宁德时代,NDSD,Industrials,工业,C38,电气机械和器材制造业,2018-06-11,2023-12-29
